NEW_SALEDATE,NEW_YEAR,MONTH,MAKE,MODEL,MAX_SELLING_PRICE,MIN_SELLING_PRICE,AVG_SELLING_PRICE,AVG_MILEAGE,MAX_MILEAGE,MIN_MILEAGE,TOTAL_SALES,TOTAL_REVENUE,PRICE_BUCKET,MILEAGE_CATEGORY
2015-06-18T04:50:00Z,2015,Jun,Saturn,S-Series,3500,150,751.428571,140959.460000,378670,1,350,263000,BUDGET,High Mileage
2015-07-09T09:00:00Z,2015,Jul,Hyundai,Veloster,39500,3000,13337.006579,29575.192434,118733,1,608,8108900,BUDGET,High Mileage
2015-07-14T06:30:00Z,2015,Jul,Ram,2500,53800,7600,33156.791126,42173.441558,209238,4,924,30636875,BUDGET,High Mileage
2015-07-09T08:00:00Z,2015,Jul,Ford,Expedition,50500,200,16015.290870,97413.003894,999999,1,2826,45259212,BUDGET,High Mileage
2015-07-09T09:30:00Z,2015,Jul,Nissan,Versa,67500,400,7552.225420,52625.895860,314070,1,3092,23351481,BUDGET,High Mileage
2015-07-09T06:00:00Z,2015,Jul,Acura,MDX,47800,600,16996.884883,93141.445288,396211,1,1581,26872075,BUDGET,High Mileage
2015-07-07T10:00:00Z,2015,Jul,Ford,E-Series Van,30800,1,19109.874383,27119.707625,288435,631,1823,34837301,BUDGET,High Mileage
2015-07-08T09:30:00Z,2015,Jul,Ford,C-Max Hybrid,33000,6100,15219.237179,28455.185897,87478,78,312,4748402,BUDGET,High Mileage
2015-07-07T06:30:00Z,2015,Jul,Infiniti,FX,37000,13000,27351.040609,41613.568528,100368,4982,394,10776310,BUDGET,High Mileage
2015-06-19T02:30:00Z,2015,Jun,Mazda,Mazda5,19500,1000,10106.359551,57849.398074,317689,1,623,6296262,BUDGET,High Mileage
2015-07-07T06:20:00Z,2015,Jul,Mercedes-Benz,S-Class,173000,300,27932.016545,76298.762914,999999,1,1511,42205277,MID_RANGE,High Mileage
2015-06-30T06:00:00Z,2015,Jun,Chevrolet,Corvette Stingray,64200,15700,55252.212389,6266.548673,23320,213,113,6243500,BUDGET,Medium Mileage
2015-06-18T03:00:00Z,2015,Jun,Acura,ZDX,30400,20600,26391.025641,43824.179487,152021,15011,39,1029250,BUDGET,High Mileage
2015-07-07T06:30:00Z,2015,Jul,Volkswagen,Tiguan,30500,4500,14198.700186,45749.530726,134311,1317,537,7624702,BUDGET,High Mileage
2015-07-09T07:00:00Z,2015,Jul,Lexus,IS 250,34600,2800,19300.425477,50328.208355,246932,70,1939,37423525,BUDGET,High Mileage
